evaluation_id,commentary_id,version_id,judge_model,faithfulness_score,hallucination_flag,completeness_score,clarity_score,verdict,reasoning,evaluated_at,data_source
v7|SMPL001|202604|202605|j1,v7|SMPL001|202604|202605,v7,claude-sonnet-5,1.0,False,1.0,1.0,PASS,"All narrative and bullet claims align precisely with the computed driver set: directions, causes, and magnitudes match (Structured Products one-time gain $36.6k, Alternative Investments quarterly timing loss $7.0k, Unified Managed Account lost account $6.4k and billable days $0.8k, Equities volume decline $0.4k). No figures or causes are invented or mischaracterized, and no overstated certainty is present. All five ranked drivers are covered in order of impact. Language is clear, concise, and uses plain business English with consistent formatting.",2026-07-21 16:40:20,DERIVED
v7|SMPL001|202605|202606|j1,v7|SMPL001|202605|202606,v7,claude-sonnet-5,0.95,False,1.0,0.9,PASS,"The narrative and all five bullets accurately reflect the computed drivers: direction, magnitude, and cause labels (ONE_TIME, TIMING, ELIGIBILITY, NEW_ACCOUNT, BILLABLE_DAYS) match the driver set exactly, with no invented figures or causes. The narrative's structure (one-time decline 'partially offset by' three upward drivers, with eligibility also noted as contributing to the decline) is slightly awkward since eligibility is itself a negative driver rather than a true 'offset' item, but it does not misstate direction or magnitude—just a minor clarity nuance. All top-ranked drivers by impact (structured products, alternative investments, UMA eligibility, UMA new account, UMA billable days) are covered, satisfying completeness. Language is plain and business-appropriate throughout.",2026-07-21 16:40:31,DERIVED
v7|SMPL002|202604|202605|j1,v7|SMPL002|202604|202605,v7,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All five drivers are covered accurately and in correct rank order. Directions, causes, and magnitudes match the computed set (e.g., Structured Products one-time $41.1k, Alternative Investments timing ($7.8k), UMA lost account ($7.1k), UMA billable days ($0.9k), Equities volume ($0.4k)). The narrative correctly characterizes the one-time gain as offsetting the other headwinds without overstating certainty or inventing causes/figures. Language is clear, concise, and business-appropriate. No unsupported claims or hallucinated data detected.",2026-07-21 16:40:35,DERIVED
v7|SMPL002|202605|202606|j1,v7|SMPL002|202605|202606,v7,claude-sonnet-5,0.97,False,1.0,0.97,PASS,"The narrative and all five bullets accurately reflect the computed driver set: directions, causes, and magnitudes match (structured products one-time decline of $41.1k, alternative investments quarterly timing of $7.8k, UMA new account $4.8k, fee-rate +6bps yielding $1.4k, one extra billable day yielding $0.9k). The narrative's characterization of the offsetting increases as 'largely offset' is a reasonable qualitative description given the partial-offset math (drivers sum to a smaller net decline than the one-time hit alone), not an overstatement of certainty. No figures or causes are invented; all five ranked drivers are covered in order of impact, satisfying completeness. Language is clear, concise, and uses plain business English with no ambiguity or jargon overload.",2026-07-21 16:40:39,DERIVED
v7|SMPL003|202604|202605|j1,v7|SMPL003|202604|202605,v7,claude-sonnet-5,1.0,False,1.0,1.0,PASS,"The narrative and all five bullets accurately reflect the computed drivers: correct directions, causes, magnitudes, and share-of-change figures. The one-time Structured Products gain is correctly identified as the primary driver, and offsetting timing, lost-account, and billable-days effects are all covered with correct attribution (including the shared account loss across UMA and Annuities). No figures, causes, or events are introduced beyond the driver set. Language is clear, concise, and uses plain business English without overstating certainty.",2026-07-21 16:40:45,DERIVED
v7|SMPL003|202605|202606|j1,v7|SMPL003|202605|202606,v7,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All five drivers are covered in rank order, directions and causes match the computed set (ONE_TIME down, TIMING up, NEW_ACCOUNT up, DISCOUNT down, BILLABLE_DAYS up), and figures cited match contribution_exact values. The narrative correctly characterizes Structured Products as the dominant driver 'more than accounting for' the overall decrease (consistent with 142% share of change), and correctly frames the other four as partial offsets, with discounting negating some of the gains. No figures or causes are invented beyond the driver set. Language is clear, business-appropriate, and unambiguous. Minor stylistic simplification (e.g., 'largely negated' for a $1.8k item against $32k total) is a mild overstatement of the discount's relative impact but does not rise to mischaracterization of direction or cause.",2026-07-21 16:40:50,DERIVED
v8|SMPL001|202604|202605|j1,v8|SMPL001|202604|202605,v8,claude-sonnet-5,1.0,False,1.0,1.0,PASS,"All five drivers are covered in the bullets with directions, causes, and figures matching the computed driver set exactly (contribution amounts, share of change, transaction counts, billable days). The narrative correctly identifies the one-time Structured Products event as the primary driver offsetting declines in Alternative Investments (timing), Unified Managed Account (lost account and billable days), and Equities (volume), consistent with rank order and share of change. No figures or causes are invented beyond the driver set, and language avoids overstated certainty, correctly attributing causes as stated (timing, lost account, billable days, volume) without speculation. Clarity is high with plain, specific business language.",2026-07-22 10:13:11,DERIVED
v8|SMPL001|202605|202606|j1,v8|SMPL001|202605|202606,v8,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All figures and causes in the narrative and bullets align exactly with the computed driver set: directions, magnitudes, and causal characterizations (ONE_TIME, TIMING, ELIGIBILITY, NEW_ACCOUNT, BILLABLE_DAYS) match the inputs without overstatement or invented context. All five drivers, including the top-ranked structured products decline, are covered in rank order with correct signs. No figures or causes are introduced beyond the driver set. Language is clear, concise, and appropriately hedged (e.g., 'primarily driven by', 'partially offsetting'), suitable for business reporting.",2026-07-22 10:13:17,DERIVED
v8|SMPL002|202604|202605|j1,v8|SMPL002|202604|202605,v8,claude-sonnet-5,0.98,False,1.0,0.98,PASS,"The narrative and bullets accurately reflect the computed drivers: figures, directions, and causes match exactly (Structured Products one-time gain, Alternative Investments quarterly timing, lost UMA account, billable-days reduction, and equities volume decline). No unsupported figures or causes are introduced, and all five ranked drivers are covered in order of impact. Language is clear, concise, and appropriately hedged (e.g., 'primarily driven by', 'further pressured'). Minor stylistic simplification but no mischaracterization of certainty or causality.",2026-07-22 10:13:21,DERIVED
v8|SMPL002|202605|202606|j1,v8|SMPL002|202605|202606,v8,claude-sonnet-5,0.97,False,1.0,0.97,PASS,"The narrative and bullets accurately reflect the computed drivers: direction, magnitude, and cause are correctly characterized for each of the five drivers (Structured Products one-time drop, Alternative Investments quarterly timing, UMA new account, fee-rate increase, and billable-days increase). The narrative's description of the offsetting gains as 'largely offset' is a reasonable qualitative summary consistent with the numbers (25.4k decline vs partial offsets from smaller upside drivers), not an overstatement. No figures or causes are introduced that aren't in the driver set, and all five ranked drivers are covered in order of impact. Language is clear, concise, and uses plain business English with no ambiguous terms.",2026-07-22 10:13:25,DERIVED
v8|SMPL003|202604|202605|j1,v8|SMPL003|202604|202605,v8,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All figures, directions, and causes in the narrative and bullets align precisely with the computed driver set. The one-time Structured Products gain, timing-related Alternative Investments decline, the two LOST_ACCOUNT declines correctly tied to the same account SMPLACCT-3104, and the billable-days headwind are all accurately characterized without overstating certainty or introducing unsupported claims. The top five drivers are all covered in rank order, and the language is clear, concise, and unambiguous business English. No hallucinated figures or causes are present.",2026-07-22 10:13:31,DERIVED
v8|SMPL003|202605|202606|j1,v8|SMPL003|202605|202606,v8,claude-sonnet-5,0.97,False,1.0,0.95,PASS,"All five drivers are covered accurately with correct directions, magnitudes, and causes matching the computed set. The narrative correctly identifies Structured Products one-time transaction absence as the primary driver and appropriately frames the other four as partial offsets, consistent with their signs and relative sizes. The discount bullet correctly notes two accounts affected, matching to_discount_rows. No figures, causes, or events are introduced beyond the driver set. Language is clear, plain business English with no ambiguity or overstated certainty.",2026-07-22 10:13:35,DERIVED
v9|SMPL001|202604|202605|j1,v9|SMPL001|202604|202605,v9,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All figures, directions, and causes in the narrative and bullets match the computed driver set exactly. The narrative correctly attributes growth to the one-time Structured Products event offsetting declines in Alternative Investments (timing), Unified Managed Account (lost account and billable days), and Equities (volume). No unsupported claims or fabricated figures are present, and all five ranked drivers are covered in order of impact. Language is clear, concise, and uses plain business terms with correctly signed percentages and dollar values.",2026-07-22 10:15:42,DERIVED
v9|SMPL001|202605|202606|j1,v9|SMPL001|202605|202606,v9,claude-sonnet-5,0.75,False,1.0,0.9,REVIEW,"All five computed drivers are accurately represented in the bullets with correct magnitudes, directions, and causes, and no figures or events are invented. However, the narrative's claim that the Structured Products decline was 'largely offset by new account activity and timing-related gains' overstates the offsetting effect: the UP drivers (timing $7.0k, new account $4.5k, billable days $0.8k) sum to only ~$12.3k versus a $36.6k decline, and the eligibility driver (-$6.3k) further reduces any offset, while total revenue still fell 45.6%. This phrasing implies more balance than the data supports, a mild overstatement of certainty/impact rather than a factual fabrication. Completeness is full (all five ranked drivers covered) and clarity is high, but the overstated offset language warrants human review.",2026-07-22 10:15:51,DERIVED
v9|SMPL002|202604|202605|j1,v9|SMPL002|202604|202605,v9,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All five drivers are covered in rank order with directions, causes, and magnitudes matching the computed set. The narrative correctly frames the one-time Structured Products event as the primary growth driver, partially offset by timing, lost account, billable days, and volume effects, matching signs and relative magnitudes. Bullet-level details (transaction counts, dollar figures, billable days) all trace directly to the inputs without embellishment or unsupported causal claims. Language is clear, concise, and uses appropriate hedging (e.g., 'due to', 'following') without overstating certainty. No fabricated figures or causes detected.",2026-07-22 10:15:55,DERIVED
v9|SMPL002|202605|202606|j1,v9|SMPL002|202605|202606,v9,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All narrative claims and bullets align directly with the computed drivers: Structured Products one-time drop (-$41.1k), Alternative Investments timing gain ($7.8k), UMA new account ($4.8k), fee rate increase ($1.4k), and billable days ($0.9k) are all accurately described with correct direction, cause, and magnitude. No figures or causes are invented beyond the driver set. All five drivers are covered in rank order, matching the top contributors by impact. Language is clear, plain business English with no overstated certainty or unsupported claims. Minor stylistic simplification ('modest upward pressure') is a fair characterization given the offsetting drivers are much smaller than the primary decline.",2026-07-22 10:15:59,DERIVED
v9|SMPL003|202604|202605|j1,v9|SMPL003|202604|202605,v9,claude-sonnet-5,1.0,False,1.0,1.0,PASS,"All five computed drivers are represented accurately in the narrative and bullets, with correct directions, causes, and magnitudes matching the driver set (one-time Structured Products gain offsetting timing, lost-account, and billable-days declines). The shared account loss (SMPLACCT-3104) affecting both UMA and Annuities is correctly attributed to the same account. No figures or causes are introduced beyond the computed data, and language is clear and business-appropriate.",2026-07-22 10:16:05,DERIVED
v9|SMPL003|202605|202606|j1,v9|SMPL003|202605|202606,v9,claude-sonnet-5,1.0,False,1.0,0.97,PASS,"The narrative and all five bullets accurately reflect the computed drivers: directions (Structured Products down, Alternative Investments/UMA new account/billable days up, UMA discount down) match, figures match contribution_exact values, and causes (ONE_TIME, TIMING, NEW_ACCOUNT, DISCOUNT, BILLABLE_DAYS) are correctly labeled without overstated certainty. No figures, causes, or events are introduced beyond the driver set. All five ranked drivers are covered in order of impact, satisfying completeness. Language is clear, concise, and uses appropriate hedging ('primarily driven', 'partially offset') without asserting unsupported certainty. Minor stylistic redundancy (e.g., repeating exact dollar figures in bullet text) slightly affects clarity but does not impact accuracy.",2026-07-22 10:16:10,DERIVED
v10|SMPL001|202604|202605|j1,v10|SMPL001|202604|202605,v10,claude-sonnet-5,1.0,False,1.0,1.0,PASS,"Every claim in the narrative and bullets matches the computed driver set exactly: figures, directions, and causes (ONE_TIME, TIMING, LOST_ACCOUNT, BILLABLE_DAYS, VOLUME) are all correctly characterized with no overstated certainty or invented causes. All five drivers, including the two smaller Equities and Billable Days impacts, are covered, satisfying completeness. No figures or events appear that are absent from the driver set, so there is no hallucination. Language is clear, concise, and uses plain business English with appropriate hedging (e.g., 'driven primarily by') that matches the data's nature.",2026-07-22 10:26:44,DERIVED
v10|SMPL001|202605|202606|j1,v10|SMPL001|202605|202606,v10,claude-sonnet-5,0.93,False,0.85,0.8,PASS,"All five computed drivers appear in the bullets with correct direction, magnitude, and cause description, and no figures or events are invented beyond the driver set. The narrative correctly leads with the dominant one-time Structured Products decline and mentions the three offsetting positive drivers, but omits the second-largest driver (UMA ELIGIBILITY, -$6.3k, 21.1% share) from the summary narrative even though it is covered in the bullets, slightly understating the full picture in the prose. Minor clarity issue: the Alternative Investments contribution is shown in parentheses ('($7.0k)') despite being a positive/offsetting figure, which could be misread as negative. These are stylistic/completeness nits rather than factual errors, so the commentary is acceptable overall.",2026-07-22 10:26:58,DERIVED
v10|SMPL002|202604|202605|j1,v10|SMPL002|202604|202605,v10,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All narrative and bullet claims align with the computed drivers: figures, directions, and causes match exactly (Structured Products one-time gain, Alternative Investments quarterly timing, UMA lost account and billable days, Equities volume decline). No unsupported figures or causes are introduced. All five drivers are covered in ranked order, matching their share of change. Language is clear, concise, and uses plain business English with no ambiguous or overstated certainty claims.",2026-07-22 10:27:02,DERIVED
v10|SMPL002|202605|202606|j1,v10|SMPL002|202605|202606,v10,claude-sonnet-5,0.98,False,1.0,0.97,PASS,"All figures, directions, and causes in the narrative and bullets match the computed driver set exactly (Structured Products one-time decline of $41.1k, Alternative Investments timing gain of $7.8k, UMA new account $4.8k, fee rate increase 82->88bps for $1.4k, and billable days 21->22 for $0.9k). No unsupported figures or causes are introduced, and the language appropriately hedges certainty (e.g., 'partially offset', 'contributed') without overstating causality. All five ranked drivers are covered in order of impact, satisfying completeness. Language is clear, concise, and uses plain business English with no ambiguity.",2026-07-22 10:27:06,DERIVED
