cause_id,cause_name,cause_description,default_data_source,display_order,display_name,description,computation,data_source
VOLUME,Volume,More or fewer transactions at similar rates,REAL,1,Volume,More or fewer transactions at similar rates,"(Δ transaction count) × prior-month average transaction value, for the remaining transactions after account-level and one-time effects are claimed.",REAL
DEAL_SIZE,Average Transaction Value,The same number of transactions at a different average value.,REAL,2,Average Transaction Value,The same number of transactions at a different average value.,"to_txn_count × (to_avg_value − from_avg_value), net of fee-rate and billable-day effects on recurring groups so the same dollars are not counted twice.",REAL
ONE_TIME,One-Time,"Non-recurring items such as syndicate allocations, new issues, referrals",REAL,3,One-Time,"Non-recurring items such as syndicate allocations, new issues, referrals",Change in revenue tagged one-time (from file_key and trade_description) between the two months.,REAL
ELIGIBILITY,Eligibility,Revenue moving into or out of credited status,REAL,4,Eligibility,Revenue moving into or out of credited status,Change in non-credited revenue for the group (e.g. a household crossing the minimum-household threshold moves revenue from credited to non-credited). Contribution = −(Δ non-credited).,REAL
LATE_PROCESSING,Late Processing,Revenue excluded because it processed more than 90 days after the trade,REAL,5,Late Processing,Revenue excluded because it processed more than 90 days after the trade,Change in revenue failing the 90-day rule (proc_dt − trade_dt > 90). Contribution = −(Δ late-excluded).,REAL
EXCLUDED_CHANGE,Excluded Bookings,Revenue moving into or out of an excluded state (e.g. a deleted booking),REAL,6,Excluded Bookings,Revenue moving into or out of an excluded state (e.g. a deleted booking),Change in revenue carrying an excluding reason code (e.g. 9X deleted) between the two months. Contribution = −(Δ excluded).,REAL
TIMING,Timing,Quarterly or periodic billing landing in one month but not the other,REAL,7,Timing,Quarterly or periodic billing landing in one month but not the other,"Revenue for a group present in one month's billing cycle and absent the other, not already claimed by One-Time.",REAL
FEE_RATE,Fee Rate,Change in the effective fee rate charged,REAL,8,Fee Rate,Change in the effective fee rate charged,"Prior-month asset proxy × (this month's avg rate − last month's), in bps.",REAL
DISCOUNT,Discount,Change in fee discounting / concessions,REAL,9,Discount,Change in fee discounting / concessions,Change in Σ discount amount and in the count of discounted transactions.,REAL
BILLABLE_DAYS,Billable Days,A different number of billing days between the two months,DERIVED,10,Billable Days,A different number of billing days between the two months,Recurring/fee-based revenue × (Δ billable days ÷ prior billable days). Derived from a business-day calendar.,REAL
MIX,Product Mix,The residual shift between products at different rates,DERIVED,11,Product Mix,The residual shift between products at different rates,Whatever remains after all named drivers are attributed. A large value here means a driver may be missing.,REAL
NEW_ACCOUNT,New Account,"Revenue from accounts in recurring product lines (Managed, Trails) that began billing after a confirmed quiet period",REAL,12,New Account,"Revenue from accounts in recurring product lines (Managed, Trails) that began billing after a confirmed quiet period","Accounts in recurring product lines with no activity for ACCOUNT_ABSENCE_MONTHS consecutive loaded months (default 2) that then appear, evaluated at advisor level so a mere product switch is not miscounted. Transactional product lines never emit this driver — intermittent trading there is routine. Contribution = Σ credited revenue of those accounts.",REAL
LOST_ACCOUNT,Lost Account,Revenue lost from accounts in recurring product lines with no billing activity for consecutive months,REAL,13,Lost Account,Revenue lost from accounts in recurring product lines with no billing activity for consecutive months,"Mirror of New Account: accounts in recurring product lines billing in the from-month and then quiet for ACCOUNT_ABSENCE_MONTHS consecutive loaded months (default 2). A single quiet month is ordinary intermittency, not a lost account. Contribution = −(their prior-month credited revenue).",REAL
CLAWBACK,Charge Back,Reversals / chargebacks (negative revenue),REAL,14,Charge Back,Reversals / chargebacks (negative revenue),Change in the sum of negative credited amounts between the months.,REAL
MARKET,Market,Movement in asset values (not yet sourced — shown as illustrative),DUMMY,15,Market,Movement in asset values (not yet sourced — shown as illustrative),"Requires an index-return feed not currently available. Modelled, flagged, contributes $0 until data is supplied.",REAL
NET_FLOW,Net Flow,Client inflows and outflows (not yet sourced — shown as illustrative),DUMMY,16,Net Flow,Client inflows and outflows (not yet sourced — shown as illustrative),"Requires a flows feed (current source stops Jan 2026). Modelled, flagged, contributes $0 until data is supplied.",REAL
BASELINE_LIMITED,Baseline Period,Recurring-line account movement the loaded data cannot classify — too few loaded months before or after this transition to apply the account-presence test,DERIVED,17,Baseline Period,Recurring-line account movement the loaded data cannot classify — too few loaded months before or after this transition to apply the account-presence test,"At the edges of the loaded range (not enough months before the first transition / after the last), New/Lost Account cannot be confirmed. Contribution = Σ credited revenue of unconfirmable recurring-line accounts present in only one of the two months, signed. Checked against total gross driver movement as a build-time warning. Derived, never narrated as a business event.",REAL
